Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W,Z_0.125W,OA_0.125W,CA_0.125W,Z_0.150W,OA_0.150W,CA_0.150W,Z_0.175W,OA_0.175W,CA_0.175W,Z_0.200W,OA_0.200W,CA_0.200W,Z_0.225W,OA_0.225W,CA_0.225W,Z_0.250W,OA_0.250W,CA_0.250W
,6.2,0.0049022,0.0022476,6.2,0.0073375,0.0032814,6.2,0.012259,0.0055788,6.2,0.024715,0.011174,6.2,0.037818,0.015738,6.2,0.049385,0.022848,6.2,0.062966,0.011547,6.2,0.075725,0.03472,6.2,0.087743,0.040112,6.2,0.098458,0.042383,6.2,0.11071,0.046812,6.2,0.12247,0.050372
,6.3,0.0049014,0.0022454,6.3,0.0073373,0.0032823,6.3,0.012259,0.0055829,6.3,0.024713,0.011183,6.3,0.037818,0.015722,6.3,0.049381,0.022814,6.3,0.062957,0.011543,6.3,0.07572,0.034662,6.3,0.087728,0.040071,6.3,0.098441,0.042291,6.3,0.11069,0.046796,6.3,0.12245,0.050355
,6.4,0.0049008,0.0022472,6.4,0.0073371,0.0032805,6.4,0.012258,0.0055776,6.4,0.02471,0.011182,6.4,0.037816,0.015725,6.4,0.049378,0.022795,6.4,0.062948,0.011536,6.4,0.075701,0.034676,6.4,0.087711,0.040047,6.4,0.098422,0.042255,6.4,0.11067,0.046783,6.4,0.12242,0.050324
,6.5,0.0049005,0.0022461,6.5,0.0073369,0.0032868,6.5,0.012258,0.0055724,6.5,0.024707,0.011174,6.5,0.037815,0.015726,6.5,0.049377,0.022811,6.5,0.062939,0.011525,6.5,0.075683,0.034721,6.5,0.0877,0.040082,6.5,0.098405,0.042292,6.5,0.11065,0.046785,6.5,0.12239,0.050227
,6.6,0.0048999,0.0022493,6.6,0.0073365,0.0032821,6.6,0.012256,0.0055703,6.6,0.024704,0.01118,6.6,0.037812,0.015698,6.6,0.049374,0.022798,6.6,0.062928,0.011559,6.6,0.075674,0.034721,6.6,0.087677,0.040093,6.6,0.098388,0.042342,6.6,0.11063,0.046681,6.6,0.12237,0.05027
,6.7,0.0048996,0.0022467,6.7,0.0073358,0.0032838,6.7,0.012255,0.0055706,6.7,0.024702,0.011172,6.7,0.03781,0.01573,6.7,0.04937,0.022813,6.7,0.062912,0.011546,6.7,0.075658,0.034708,6.7,0.08765,0.040042,6.7,0.098366,0.042249,6.7,0.1106,0.04671,6.7,0.12233,0.050254
,6.8,0.0048994,0.0022481,6.8,0.0073353,0.0032842,6.8,0.012253,0.005568,6.8,0.024699,0.011166,6.8,0.037808,0.015735,6.8,0.049365,0.022805,6.8,0.062906,0.011523,6.8,0.075642,0.034657,6.8,0.087631,0.040045,6.8,0.098348,0.042251,6.8,0.11057,0.046764,6.8,0.12229,0.050187
,6.9,0.0048991,0.0022468,6.9,0.0073347,0.0032791,6.9,0.012252,0.0055598,6.9,0.024695,0.011171,6.9,0.037807,0.015723,6.9,0.049359,0.022793,6.9,0.062887,0.011529,6.9,0.075623,0.034652,6.9,0.087608,0.040018,6.9,0.098324,0.042283,6.9,0.11054,0.04665,6.9,0.12225,0.050227
,7,0.0048987,0.002247,7,0.0073346,0.0032805,7,0.012251,0.0055653,7,0.024693,0.011153,7,0.037805,0.015714,7,0.049354,0.022749,7,0.062871,0.011508,7,0.075603,0.034815,7,0.087577,0.039955,7,0.098301,0.042213,7,0.11051,0.046649,7,0.12221,0.050177
,7.1,0.0048983,0.0022472,7.1,0.0073335,0.0032791,7.1,0.012251,0.0055663,7.1,0.024688,0.01116,7.1,0.037802,0.015709,7.1,0.049347,0.02278,7.1,0.062858,0.011506,7.1,0.075579,0.034732,7.1,0.087549,0.039945,7.1,0.098271,0.042248,7.1,0.11047,0.046521,7.1,0.12216,0.05018
